name1,name2,date,case_day_minus_0,case_day_minus_1,case_day_minus_2,case_day_minus_3,case_day_minus_4,case_day_minus_5,case_day_minus_6,case_day_minus_7,case_day_minus_8,case_day_minus_9
Adygea_Republic__Russia,XXX,2020.08.17,3129,3113,3095,3076,3055,3035,3016,2995,2975,2955
Adygea_Republic__Russia,XXX,2020.08.16,3113,3095,3076,3055,3035,3016,2995,2975,2955,2930
Adygea_Republic__Russia,XXX,2020.08.15,3095,3076,3055,3035,3016,2995,2975,2955,2930,2906
Adygea_Republic__Russia,XXX,2020.08.14,3076,3055,3035,3016,2995,2975,2955,2930,2906,2880
Adygea_Republic__Russia,XXX,2020.08.13,3055,3035,3016,2995,2975,2955,2930,2906,2880,2855
Adygea_Republic__Russia,XXX,2020.08.12,3035,3016,2995,2975,2955,2930,2906,2880,2855,2830
Adygea_Republic__Russia,XXX,2020.08.11,3016,2995,2975,2955,2930,2906,2880,2855,2830,2803
Adygea_Republic__Russia,XXX,2020.08.10,2995,2975,2955,2930,2906,2880,2855,2830,2803,2775
Adygea_Republic__Russia,XXX,2020.08.09,2975,2955,2930,2906,2880,2855,2830,2803,2775,2747
Adygea_Republic__Russia,XXX,2020.08.08,2955,2930,2906,2880,2855,2830,2803,2775,2747,2714
Adygea_Republic__Russia,XXX,2020.08.07,2930,2906,2880,2855,2830,2803,2775,2747,2714,2679
Adygea_Republic__Russia,XXX,2020.08.06,2906,2880,2855,2830,2803,2775,2747,2714,2679,2642
Adygea_Republic__Russia,XXX,2020.08.05,2880,2855,2830,2803,2775,2747,2714,2679,2642,2604
Adygea_Republic__Russia,XXX,2020.08.04,2855,2830,2803,2775,2747,2714,2679,2642,2604,2568
Adygea_Republic__Russia,XXX,2020.08.03,2830,2803,2775,2747,2714,2679,2642,2604,2568,2530
Adygea_Republic__Russia,XXX,2020.08.02,2803,2775,2747,2714,2679,2642,2604,2568,2530,2496
Adygea_Republic__Russia,XXX,2020.08.01,2775,2747,2714,2679,2642,2604,2568,2530,2496,2470
Adygea_Republic__Russia,XXX,2020.07.31,2747,2714,2679,2642,2604,2568,2530,2496,2470,2436
